track_name,artist,genre,popularity,duration_ms,energy,valence,danceability,mode
Bill,Jesus Flores,electronic,95,176122,0.04,0.57,0.43,1
Girl present nice,Christopher Gomez,electronic,1,293103,0.18,0.65,0.67,1
Ball up box,Abigail Watkins,folk,19,193936,0.18,0.09,0.02,1
Amount,Destiny Roberts,folk,43,122291,0.58,0.33,0.13,1
Few activity,Destiny Roberts,metal,2,275032,0.19,0.85,0.99,1
Energy however doctor,William Livingston,metal,94,291745,0.0,0.93,0.72,1
Feel top evidence,Charlotte Jones,hip hop,88,272950,0.5,0.02,0.1,1
Perform house sort,Anne Flynn,rock,35,170005,0.42,0.36,0.33,1
Truth use,Clayton Stone,metal,97,154166,0.21,0.03,0.94,0
Education,Anne Flynn,pop,61,134107,0.42,0.36,0.16,0
Each everything food,Alyssa Kelley,folk,35,135809,0.17,0.62,0.44,0
Form trip cut,Aaron Phillips,metal,75,125866,0.41,0.13,0.86,0
Theory you air,Charles Conley,classical,33,161575,0.83,0.68,0.64,0
Join hospital feel,Christopher Higgins,jazz,31,135374,0.12,0.62,0.91,1
Conference stay pattern,Darrell Lewis,reggae,98,287729,0.45,0.42,0.79,0
Wish language,John Evans,classical,75,297489,0.78,0.35,0.29,0
Through particular sure,Julia Green,electronic,61,147898,0.14,0.81,0.46,0
Around event,Christopher Higgins,rock,71,135570,0.77,0.8,0.51,0
Necessary good,Richard Fields,electronic,94,228153,0.55,0.1,0.4,0
His always see bring,Lacey Shaw,reggae,54,255339,0.04,0.01,0.1,1
Believe service thousand,Abigail Watkins,reggae,18,275385,0.03,0.72,0.97,0
Hundred serious,Roberto Heath,reggae,25,253264,0.04,0.45,0.25,1
Become usually,Kyle Brady,electronic,10,132530,0.81,0.29,0.97,1
Network should,Clayton Stone,reggae,25,225019,0.17,0.7,0.02,1
Us still agency,Mary Martin,hip hop,68,258444,0.68,0.45,0.7,1
Around style,Richard Fields,reggae,26,151587,0.56,0.33,1.0,0
Down effort third,Lacey Shaw,metal,56,186642,0.84,0.89,0.44,0
Hold cup,Mary Martin,rock,74,136796,0.52,0.83,0.7,1
Say section address,Christopher Higgins,pop,7,189731,0.4,0.43,0.31,1
Sound cold nor,David Baker,pop,8,150534,0.05,0.59,0.67,0
Market true their market,Christopher Higgins,jazz,2,291731,0.26,0.24,0.77,0
Form well,Darrell Lewis,jazz,0,202587,0.25,1.0,0.07,0
Car machine customer,Julia Green,pop,78,279606,0.5,0.81,0.3,1
Both future,Kathryn Holloway,metal,67,249190,0.64,0.65,0.2,1
Look sport member,Kathleen Lang,rock,48,278069,0.56,0.29,0.41,1
Ten beautiful,Anne Flynn,rock,27,247128,0.29,0.05,0.48,1
Special clearly hot,Donna Ellis,electronic,22,204494,0.44,0.21,0.69,1
Entire election,Jesus Flores,rock,57,123843,0.07,0.82,0.26,1
Huge beyond especially,Richard Fields,hip hop,27,242491,0.05,0.46,0.9,0
Lawyer win,Roberto Heath,rock,52,134397,0.84,0.66,0.66,1
Into pass also,Christopher Gomez,rock,10,181659,0.37,0.7,0.62,1
Best allow,Marvin Shaw,hip hop,10,236511,0.96,0.73,0.54,1
Including sister,Richard Fields,folk,9,263292,0.93,0.89,0.3,0
Generation yard far,David Baker,hip hop,15,238303,0.95,0.88,0.52,0
Production join cause,Derrick Flores,reggae,47,234731,0.93,0.54,0.06,0
Care food,Christopher Gomez,jazz,5,229782,0.47,0.47,0.09,0
Strong system,Kathryn Ruiz,electronic,72,142315,0.3,0.4,0.76,0
Pressure business,Derrick Flores,hip hop,63,296774,0.82,0.27,0.17,1
Practice,Derrick Flores,folk,19,241466,0.73,0.39,0.94,1
Quite off build north,Antonio Jones,pop,5,274361,0.35,0.71,0.26,0
Agreement work million thought,Marvin Shaw,metal,45,231974,0.04,0.9,0.64,0
Decide chair,Jonathan Atkins,reggae,86,265021,0.56,0.33,0.38,0
Vote shake mouth,Ebony Frey,reggae,84,295643,0.64,0.18,0.64,1
Say nor,Jesus Flores,jazz,48,220592,0.55,0.72,0.94,1
Itself lose spend,Antonio Jones,pop,57,254139,0.31,0.06,0.01,1
Manage his here,Kathryn Ruiz,rock,18,161892,0.98,0.36,0.76,1
Blood make film,Christopher Gomez,jazz,69,152783,0.0,0.97,0.96,0
Fine world happy some,Christopher Gomez,jazz,51,259645,0.7,0.23,0.04,1
Her kind,Julia Green,hip hop,50,245704,0.15,0.99,0.53,0
Drive,Richard Fields,metal,79,136622,0.09,0.07,1.0,0
Pay answer,Mary Martin,electronic,84,277205,0.64,0.16,0.82,0
Trade especially just body,Abigail Watkins,metal,29,175926,0.48,0.41,0.0,0
Alone also east,Christopher Higgins,electronic,32,204205,0.56,0.09,0.33,0
Generation Congress,Jennifer Mcpherson,hip hop,35,199190,0.5,0.26,0.62,1
Provide,Brittany Avila,classical,4,170658,0.7,0.27,0.79,1
Laugh according,William Livingston,metal,60,246940,0.9,0.93,0.07,0
Avoid family political,Kathryn Holloway,jazz,68,270270,0.75,0.63,0.55,0
Change week home,Janice Schaefer,metal,70,158131,0.1,0.08,0.27,0
Eat life,Charles Conley,electronic,79,168420,0.92,0.63,0.95,1
Consider adult she,Jesus Flores,folk,31,272507,0.4,0.62,0.44,1
Election,Jasmine Smith,jazz,11,205806,0.34,0.26,0.31,0
Majority such,Marvin Shaw,rock,78,155328,0.72,0.68,0.06,1
Campaign different,William Rivera,classical,89,220005,0.89,0.04,0.11,1
Probably,Aaron Phillips,rock,87,136218,0.23,0.6,0.75,1
Hard large not,Kathleen Lang,electronic,40,185156,0.41,0.71,0.13,1
Film yes often,Jennifer Mcpherson,classical,76,134630,0.38,0.01,0.02,1
Series far eye,Clayton Stone,hip hop,67,272138,0.25,0.05,0.92,1
Good leg maybe measure,Edward Mitchell,jazz,71,280796,0.43,0.5,0.05,1
Young operation,Lacey Shaw,jazz,1,201459,0.31,0.87,0.49,1
Skin seat social,Christopher Gomez,classical,3,269739,0.45,0.95,0.77,0
Vote morning,Derrick Flores,electronic,77,127573,0.43,0.24,0.78,1
Glass only,Kathryn Ruiz,metal,100,154290,0.85,0.18,0.42,1
Offer low time,Abigail Watkins,pop,50,285838,0.33,0.61,0.23,0
Require great unit,Jasmine Smith,pop,86,231541,0.16,0.19,0.17,1
Public,David Baker,hip hop,57,232245,0.96,0.48,0.66,1
Society future final middle,Destiny Roberts,metal,97,202838,0.61,0.39,0.1,0
Available our prepare,Kristen Luna MD,jazz,12,144195,0.37,0.97,0.5,1
Partner water,Jennifer Black,folk,81,221776,0.99,0.01,0.9,0
House fill,Lindsay Orr,rock,75,255337,0.98,0.48,0.49,0
Economic between create,Roberto Heath,electronic,22,271477,0.6,0.94,0.44,0
Fine thing,John Evans,jazz,17,227098,0.79,0.85,0.64,1
Black who,Anne Flynn,rock,93,149073,0.92,0.05,0.53,0
Ever example,Kyle Brady,reggae,29,232743,0.35,0.59,0.39,0
Save point,Mr. Norman Bender DDS,reggae,44,286607,0.17,0.98,0.95,0
Administration situation difficult,Destiny Roberts,jazz,15,296095,0.56,0.75,0.5,1
People learn city,David Baker,classical,34,132359,0.03,0.94,0.25,1
Just outside child,Brittany Avila,jazz,59,208746,0.74,0.87,0.85,0
Tv,Destiny Roberts,rock,24,160413,0.93,0.98,0.29,1
Rate wall,John Evans,rock,56,224371,0.76,0.24,0.29,0
Serve stop control,Lacey Shaw,reggae,3,170234,0.87,0.56,0.38,0
Note leader,Lindsay Orr,rock,45,123307,0.66,0.06,0.85,1
Avoid always,Christopher Higgins,electronic,32,206232,0.71,0.19,0.39,0
Night street,Nicholas Meyer,classical,69,251869,0.83,0.27,0.89,1
Of later,Clayton Stone,electronic,1,129375,0.86,0.86,0.79,0
Race American design concern,William Livingston,folk,91,223897,0.44,0.51,0.51,0
Toward actually almost,Mary Martin,metal,22,193099,0.25,0.92,0.96,1
Include,Aaron Phillips,jazz,6,259391,0.21,0.54,0.36,0
Last firm argue,Kathryn Holloway,reggae,79,177001,0.45,0.78,0.11,1
Three house trial,Brittany Avila,electronic,76,152330,0.15,0.46,0.5,1
Since usually outside,Edward Mitchell,folk,49,283079,0.57,0.43,0.59,0
Live nothing,Clayton Stone,pop,40,246154,0.58,0.13,0.48,1
From without box,Amanda Huffman,reggae,17,186530,0.38,0.04,0.09,1
Total analysis positive,Jesse Mccarthy,jazz,34,154655,0.9,0.83,0.65,1
Some plant establish audience,Jennifer Black,hip hop,30,182460,0.57,0.1,0.98,1
Cost chance discuss,Alexa Pace,pop,20,268525,0.21,0.17,0.87,0
Field image hour both,Nichole Drake,folk,21,158195,0.12,0.82,0.01,0
Figure really,Wesley Nelson,hip hop,2,136523,0.69,0.39,0.43,0
Great quickly,Richard Fields,pop,65,285512,0.6,0.87,0.92,1
Should must,Marvin Shaw,metal,1,263587,0.08,0.3,0.37,0
Building heavy,Ryan Hahn,jazz,92,181664,0.9,0.29,0.32,0
Fill miss,Ebony Frey,rock,65,132416,0.79,0.28,0.78,0
Crime bank,Charles Conley,electronic,39,227129,0.87,0.59,0.83,0
Fill close myself,Wesley Nelson,pop,25,124430,0.46,0.75,0.92,0
Raise response run,Antonio Jones,classical,42,274226,0.38,0.83,0.33,0
Easy live,Aaron Phillips,metal,85,222218,0.42,0.09,0.01,1
Car performance,Clayton Stone,classical,11,143670,0.7,0.89,0.94,1
Garden between,John Evans,pop,69,204916,0.1,0.61,0.92,1
Get school feel measure,Christopher Higgins,reggae,66,281264,0.02,0.77,0.76,1
Coach sit lawyer,Mr. Norman Bender DDS,metal,25,197123,0.55,0.38,0.73,1
Record decade,Kathryn Ruiz,hip hop,77,240353,0.78,0.53,0.54,0
Land,Jennifer Black,reggae,87,293123,0.64,0.78,0.07,0
Quality when,Ebony Frey,classical,54,167345,0.36,0.84,0.57,1
Wonder glass surface,Jasmine Smith,pop,76,182061,0.13,0.94,0.13,1
Whole pressure,Matthew Reese,reggae,66,271338,0.56,0.87,0.38,1
Court allow read toward,Mr. Norman Bender DDS,rock,0,269851,0.37,0.14,0.07,1
Performance response,Kyle Brady,classical,65,202406,0.97,0.12,0.49,1
Quickly size,Brandi Yates,rock,95,156167,0.49,0.39,0.18,0
Task computer country,Christopher Gomez,rock,86,289077,0.55,0.28,0.61,1
Positive author common image,Aaron Phillips,hip hop,34,166406,0.16,0.6,0.48,0
Reduce drop,Ryan Hahn,reggae,90,189293,0.72,0.37,0.92,0
Garden common house,Mary Martin,folk,87,196978,0.37,0.83,0.05,1
Since,Destiny Roberts,folk,0,271513,0.14,0.84,0.37,0
Fire value product,Nicholas Meyer,pop,6,136611,0.63,0.22,0.7,1
Several success,Antonio Jones,metal,6,240417,0.17,0.83,0.28,1
Again fall,Derrick Flores,hip hop,20,266798,0.61,0.89,0.89,1
Former,Ryan Hahn,pop,11,247264,0.52,0.95,0.82,0
Ability represent respond,Jasmine Smith,hip hop,33,238652,0.24,0.14,0.42,1
Move usually,Charlotte Jones,folk,47,121637,0.48,0.06,0.35,0
Public court know,Marvin Shaw,rock,73,217465,0.97,0.61,0.84,0
Audience back situation special,Charles Conley,rock,23,232041,0.08,0.88,0.74,0
Prevent place,Ryan Hahn,reggae,72,155694,0.2,0.03,0.07,1
Behavior place race,Amanda Huffman,classical,1,121206,0.96,0.26,0.7,0
Area available year,Darrell Lewis,folk,100,201856,0.56,0.33,0.29,0
Strategy game,Janice Schaefer,folk,52,275477,0.56,0.21,0.86,1
Example professor note,Kathryn Holloway,hip hop,32,193145,0.96,0.77,0.41,0
Responsibility person focus,Anne Flynn,folk,60,173001,0.8,0.81,0.08,0
Child reason boy,Julia Green,pop,42,131902,0.15,0.77,0.66,1
Black program member,Amanda Huffman,electronic,23,138014,0.47,0.3,0.97,1
Question room control,Julia Green,reggae,67,183427,0.34,0.92,0.42,0
Individual local surface seek,Antonio Jones,metal,69,234143,0.04,0.43,0.19,0
Nice send story at,Clayton Stone,jazz,69,251958,0.2,0.3,0.18,0
Which factor,Matthew Reese,metal,38,226402,0.92,0.54,0.33,0
Short thank,John Evans,reggae,35,133138,0.39,0.45,0.34,0
Avoid just modern home,Alexa Pace,classical,20,173999,0.56,0.73,0.01,0
Worry only course,Kyle Brady,folk,98,205079,0.11,0.49,0.7,0
Month they weight,Donna Ellis,rock,12,141845,1.0,0.46,0.51,1
Serious manage herself,Kathryn Holloway,rock,87,125006,0.14,0.81,0.7,1
Involve evening,Ryan Hahn,metal,87,166438,0.17,0.02,0.72,1
Concern oil,Charles Conley,electronic,34,141799,0.68,1.0,0.89,0
Guess American recent,John Evans,hip hop,40,268344,0.36,0.96,0.01,1
Project hospital its,Roberto Heath,pop,40,149096,0.34,0.86,0.93,1
Subject player,John Evans,jazz,81,281909,0.34,0.44,0.04,1
Drug military,David Baker,rock,56,170138,0.84,0.46,0.55,1
Half tax hotel,Brittany Avila,classical,3,180450,0.67,0.83,0.05,1
Number sit own,Amanda Huffman,jazz,79,176683,0.97,0.77,0.01,0
Big wish,Antonio Jones,pop,44,153044,0.94,0.88,0.43,1
Official young,William Livingston,rock,69,198614,0.63,0.91,0.96,1
Note something,Christopher Gomez,hip hop,45,210730,0.76,0.24,0.37,1
Fear reason,Christopher Higgins,hip hop,46,221691,0.07,0.06,0.96,0
Together use,Alexa Pace,pop,73,232321,0.94,0.91,0.55,0
His certainly window,Kathryn Ruiz,folk,91,235142,0.48,0.04,0.7,0
Recent person benefit,Derrick Flores,reggae,34,298315,0.13,0.89,0.22,0
Provide agree,Clayton Stone,jazz,74,218295,0.86,0.02,0.39,1
My practice,David Baker,metal,20,207601,0.33,0.22,0.63,0
In whole purpose,Alyssa Kelley,rock,27,219479,0.31,0.13,0.39,1
Sit stage,Janice Schaefer,rock,68,186786,0.18,0.06,0.19,0
Establish scientist,Donna Ellis,electronic,39,206777,0.86,0.07,0.74,0
One force parent,Brittany Avila,pop,53,297410,0.05,0.24,0.64,1
Sing wall,Julia Green,folk,31,123655,0.15,0.9,0.09,1
End leader candidate,Donna Ellis,reggae,17,281550,0.93,0.28,0.68,1
Sense hour opportunity,David Baker,classical,72,265878,0.79,0.54,0.32,0
Travel just,Lacey Shaw,rock,75,275607,0.77,0.31,0.4,0
Oil source act,Kathleen Lang,electronic,85,166971,0.8,0.88,0.14,1
Available film,Jennifer Black,classical,23,140378,0.26,0.98,0.89,0
Nor home behind,John Evans,pop,14,143811,0.8,0.84,0.23,0
Staff agreement number very,Erika Norton,hip hop,55,164105,0.1,0.8,0.73,0
Line type,Mary Martin,rock,67,152635,0.52,0.91,0.72,1
Although house keep risk,Aaron Phillips,rock,13,149377,0.5,0.21,0.37,0
Production stop,Darrell Lewis,classical,95,241569,0.69,0.47,0.7,0
Risk Democrat,Mr. Norman Bender DDS,metal,66,131654,0.71,0.75,0.77,0
Allow method lose,Christopher Gomez,reggae,97,278301,0.86,0.07,0.98,0
Add describe start,Ebony Frey,folk,61,165187,0.8,0.28,0.96,1
Approach three democratic,Brandi Yates,pop,12,254719,0.14,0.72,0.48,0
Group skin after,Jesse Mccarthy,pop,70,176033,0.62,0.54,0.63,0
Strong student,Brandi Yates,hip hop,19,135508,0.25,0.28,0.49,1
Tough up everybody,Nicholas Meyer,electronic,16,257599,0.75,0.07,0.97,1
Management style beat,Jasmine Smith,electronic,1,296456,0.13,0.63,0.01,0
Report prevent be,Ryan Hahn,electronic,35,159129,0.22,0.13,0.72,1
Onto appear garden,Destiny Roberts,classical,89,147062,0.24,0.72,0.04,0
Save industry seat,Roberto Heath,folk,53,207940,0.89,0.41,0.4,0
We sign artist,Mary Martin,pop,91,275941,0.23,0.83,0.46,1
Particularly,Ebony Frey,metal,12,280197,0.54,0.13,0.07,0
Blood stage,Kathryn Holloway,hip hop,11,228976,0.68,0.81,0.98,0
Responsibility create factor,Clayton Stone,reggae,48,279414,0.04,0.94,0.58,0
To too continue,Richard Fields,rock,33,184996,0.84,0.74,0.82,0
Radio others number,Alexa Pace,metal,20,159540,0.57,0.8,0.2,0
Wide bring,Alyssa Kelley,metal,1,251357,0.06,0.41,0.88,1
Different arrive,Janice Schaefer,metal,96,130637,0.38,0.7,0.93,0
Soon red,Alexa Pace,folk,46,214809,0.06,0.58,0.78,1
Book pattern radio,Brittany Avila,jazz,4,235599,0.97,0.39,0.2,1
Hard hot yourself fly,Kristen Luna MD,electronic,28,268780,0.42,0.01,0.65,1
Guess despite sign yes,Janice Schaefer,hip hop,24,153941,0.85,0.39,0.43,0
Whole for,Jonathan Atkins,rock,18,187037,0.22,0.41,0.14,1
Animal,Jasmine Smith,folk,41,189875,0.67,0.1,0.51,0
Just suddenly,Edward Mitchell,folk,63,275744,0.95,0.62,0.74,1
Mission blood,Matthew Reese,hip hop,30,201562,0.91,0.71,0.66,1
Why point,Donna Ellis,jazz,25,266723,0.34,0.24,0.13,1
Pm few lead,Jesse Mccarthy,reggae,46,294774,0.06,0.53,0.22,1
Science effect,Christopher Higgins,electronic,88,183146,0.08,0.71,0.37,1
Seek talk let trade,Richard Fields,metal,47,190012,0.37,0.47,0.73,1
Loss,Kyle Brady,reggae,58,225218,0.59,0.89,0.8,1
Left only prepare,Erika Norton,classical,46,182895,0.44,0.56,0.99,1
Sure trip,Kathryn Ruiz,metal,93,275883,0.78,0.38,0.81,1
Good alone imagine,Antonio Jones,electronic,16,140729,0.18,0.29,0.02,0
Attack very interesting,Jesus Flores,classical,39,253181,0.09,0.34,0.76,0
Miss cut law each,Jennifer Mcpherson,classical,73,219952,0.4,0.84,0.18,0
Hit not throughout,Janice Schaefer,pop,35,155837,0.24,0.78,0.59,0
Direction start,Jesse Mccarthy,jazz,49,152123,0.93,0.29,1.0,1
Total white,Ebony Frey,folk,25,184962,0.79,0.16,0.42,0
List audience anything,Charlotte Jones,jazz,40,200988,0.21,0.81,0.45,1
Produce performance history at,Brandi Yates,electronic,98,240035,0.23,0.96,0.68,0
Pull else almost,Christopher Gomez,pop,82,299898,0.73,0.5,0.53,1
Lot somebody always,Anne Flynn,hip hop,15,140814,0.37,0.55,0.09,1
Speak write operation long,Lacey Shaw,classical,26,215092,0.82,0.66,0.74,0
Capital impact,Derrick Flores,metal,58,188094,0.27,0.68,0.89,1
Medical three drug,Marvin Shaw,pop,63,170854,0.64,0.16,0.65,0
Analysis,Kathleen Lang,folk,43,158689,0.22,0.44,0.45,1
Plant back,Amanda Huffman,metal,41,226623,0.19,0.47,0.11,0
Traditional,David Baker,pop,80,213614,0.82,0.81,0.93,0
International kid ready enter,Jennifer Mcpherson,pop,41,290151,0.52,0.98,0.04,0
Expect raise agree,Amanda Huffman,reggae,22,153560,0.07,0.19,0.46,0
Adult establish,Aaron Phillips,rock,3,278391,0.3,0.97,0.69,0
Factor,David Baker,electronic,50,258696,0.81,0.69,0.49,0
Middle authority he,Erika Norton,pop,15,171934,0.38,0.35,0.71,1
City Democrat rich,Nicholas Meyer,hip hop,3,277530,0.64,0.58,0.63,1
Big suggest,Mary Martin,electronic,16,217918,0.97,0.35,0.89,0
Plan personal,Anne Flynn,electronic,21,159525,0.64,0.77,0.44,0
Approach price imagine,Kathryn Holloway,folk,77,165693,0.0,0.36,0.47,0
Subject,Donna Ellis,classical,16,179411,0.42,0.09,0.35,0
Decade statement wait,Alexa Pace,reggae,11,132833,0.55,0.46,0.51,1
Land assume set,Marvin Shaw,reggae,97,252557,0.81,0.83,0.2,0
Impact along perhaps,Wesley Nelson,rock,62,152684,0.16,0.1,0.64,0
Believe state,Amanda Huffman,folk,71,285706,0.96,0.71,0.96,1
Perform increase,Kristen Luna MD,metal,97,188718,0.53,0.26,0.4,0
Population alone,John Evans,classical,96,188853,0.13,0.21,0.97,0
Bring at red,Anne Flynn,hip hop,20,253263,0.02,0.11,0.61,1
Certain number individual run,Mary Martin,hip hop,71,295729,0.86,0.57,0.72,0
Relate try,Nicholas Meyer,hip hop,45,226175,0.06,0.18,0.89,1
Eight,Jennifer Mcpherson,electronic,83,132926,0.9,0.24,0.9,1
Light,William Livingston,electronic,82,150078,0.53,0.27,0.68,1
Everyone look practice,Abigail Watkins,jazz,30,121654,0.49,0.32,0.86,1
Reduce everybody simply,Brittany Avila,rock,71,204923,0.15,0.89,0.07,1
Understand debate determine,Alexa Pace,hip hop,84,135029,0.51,0.29,0.4,1
Economic son,Kathryn Ruiz,classical,8,202268,0.73,0.79,0.05,1
Together entire,Darrell Lewis,jazz,9,165686,0.94,0.66,0.37,1
Above cultural us,William Livingston,jazz,9,268432,0.77,0.67,0.33,1
Data can even,Darrell Lewis,pop,85,143940,0.58,0.38,0.98,1
Feel human,Mr. Norman Bender DDS,reggae,63,213782,0.8,0.06,0.8,0
National seat beautiful,Julia Green,pop,21,233926,0.98,0.67,0.07,1
Edge tend road,Destiny Roberts,rock,93,293442,0.09,0.31,0.94,0
Hand remain place,Jesus Flores,metal,51,241309,0.53,0.65,0.41,1
High likely open,William Livingston,electronic,21,231768,0.49,0.48,0.08,0
Treatment four,John Evans,hip hop,83,222079,0.67,0.03,0.96,1
Agree pick brother,Kathleen Lang,folk,45,182188,0.84,0.94,0.94,1
Star let,Marvin Shaw,electronic,77,144037,0.63,0.38,0.31,0
Red help,Amanda Huffman,folk,92,271576,0.64,0.18,0.12,0
Fast,Marvin Shaw,hip hop,75,138154,0.35,0.02,0.35,1
Power reality sign,Jonathan Atkins,jazz,72,287794,0.46,0.92,0.48,0
Production middle run claim,Destiny Roberts,pop,53,267131,0.46,0.31,0.54,1
Room only,Alexa Pace,reggae,38,270050,0.45,0.45,0.31,0
Yourself how,Erika Norton,metal,49,211110,0.43,0.99,0.26,1
Sometimes market soldier call,Richard Fields,pop,52,184032,0.35,0.7,0.47,0
Firm fish,Antonio Jones,metal,72,231837,0.62,0.96,0.44,0
Alone sister two,Destiny Roberts,classical,72,219655,0.22,0.21,0.69,1
Different return two,Jesse Mccarthy,pop,47,211688,0.11,0.53,0.46,0
She natural,Clayton Stone,metal,30,140542,0.85,0.61,0.92,1
First guy,Mary Martin,metal,36,228513,0.66,0.25,0.97,1
Oil defense,Edward Mitchell,jazz,28,200580,0.71,0.79,0.79,1
Wall former,Alexa Pace,rock,72,278198,0.59,0.75,0.24,1
Through avoid,Ebony Frey,jazz,57,194734,0.23,0.88,0.88,1
Minute raise,Jennifer Black,pop,97,297215,0.84,0.7,0.17,0
Public upon,Ebony Frey,pop,42,251204,0.42,0.61,0.48,0
Degree participant require,Brittany Avila,folk,98,256940,0.58,0.93,0.1,0
Customer pay indeed,Wesley Nelson,rock,97,269686,0.45,0.06,0.17,1
Task memory,Lindsay Orr,pop,41,198999,0.9,0.52,0.19,1
How popular,Kyle Brady,classical,60,273512,0.13,0.78,0.04,0
Green college tend,Clayton Stone,pop,35,268553,0.43,0.3,0.93,0
Instead significant,Darrell Lewis,electronic,6,127179,0.14,0.74,0.36,0
Often message heavy,Nichole Drake,rock,93,240971,0.33,0.39,0.36,1
Stuff face red tough,Kyle Brady,electronic,74,208442,0.63,0.84,0.96,1
Beyond business however,Darrell Lewis,rock,78,177252,0.94,0.26,0.36,1
Pressure political learn,Julia Green,electronic,89,205788,0.4,0.22,0.07,1
According food,Nichole Drake,pop,37,168121,0.19,0.41,0.93,0
Rise prove responsibility,William Rivera,pop,24,201271,0.46,0.18,0.41,0
Direction least point,Clayton Stone,pop,29,293876,0.45,0.58,0.5,1
Care half open,Richard Fields,folk,4,264747,0.79,0.99,0.65,0
Summer as probably age,Kathryn Ruiz,jazz,96,272716,0.96,0.15,0.8,0
Perform fall,John Evans,reggae,36,136885,0.47,0.19,0.04,0
Include shoulder section,Ryan Hahn,classical,19,179868,0.54,0.79,0.37,0
Pressure truth develop own,Lacey Shaw,hip hop,71,279777,0.94,0.42,0.34,1
Training term across,Nicholas Meyer,classical,96,161807,0.2,0.13,0.99,0
Effort indicate,Destiny Roberts,pop,2,155243,0.33,0.57,0.11,0
Know economic voice,Donna Ellis,pop,2,177530,0.2,0.41,0.44,0
Example consumer part,Janice Schaefer,metal,46,122806,0.44,0.43,0.78,1
Head newspaper attorney,William Rivera,classical,95,134854,0.17,0.64,0.21,0
Student coach remember,Donna Ellis,hip hop,94,272494,0.56,0.26,0.49,0
Join as,Nichole Drake,pop,34,154553,0.05,0.54,0.46,0
Seat if,Janice Schaefer,rock,91,162741,0.96,0.66,0.13,0
Across movement beautiful,Ryan Hahn,classical,56,228419,0.92,0.26,0.88,1
Past tonight,Lindsay Orr,rock,82,286739,0.69,0.32,0.26,0
Safe world discuss right,Julia Green,hip hop,6,221270,0.36,0.54,0.54,1
Chance such,Amanda Huffman,hip hop,60,284868,0.15,0.51,0.93,0
Main,Charles Conley,hip hop,76,130512,0.8,0.58,0.69,1
Main,David Baker,metal,68,193858,0.71,0.91,0.72,0
Edge worker summer,Alyssa Kelley,electronic,31,284416,0.19,0.57,0.94,0
Particular myself treat,Destiny Roberts,rock,10,142531,0.98,0.12,0.46,0
Stock everyone,Jasmine Smith,electronic,44,264912,0.42,0.92,0.61,0
